,dose_bins,coverage
0,0.0,100.0
1,0.1,74.54623313761121
2,0.2,71.14761276208775
3,0.30000000000000004,69.0000689651854
4,0.4,67.38636381861835
5,0.5,66.08075662827605
6,0.6000000000000001,64.9829271070067
7,0.7000000000000001,64.02238641995307
8,0.8,63.16368966949638
9,0.9,62.38975594343572
10,1.0,61.68093818313625
11,1.1,61.03202390365403
12,1.2000000000000002,60.41991778708362
13,1.3,59.850233278749265
14,1.4000000000000001,59.31406905820822
15,1.5,58.80436822276717
16,1.6,58.317602321079455
17,1.7000000000000002,57.86339440227233
18,1.8,57.41520088916974
19,1.9000000000000001,56.98641385847382
20,2.0,56.58328829211728
21,2.1,56.189625390735884
22,2.2,55.803981696960555
23,2.3000000000000003,55.43822563804825
24,2.4000000000000004,55.07551687802626
25,2.5,54.72764365207545
26,2.6,54.38602540805738
27,2.7,54.052666947873554
28,2.8000000000000003,53.737030936499096
29,2.9000000000000004,53.42147511720072
30,3.0,53.11802830138749
31,3.1,52.81361918066152
32,3.2,52.52420597815889
33,3.3000000000000003,52.236236233025345
34,3.4000000000000004,51.95628569549786
35,3.5,51.68812339315127
36,3.6,51.41587129492561
37,3.7,51.1546857031963
38,3.8000000000000003,50.89366049561911
39,3.9000000000000004,50.642017760941
40,4.0,50.39229963608835
41,4.1000000000000005,50.147072267495105
42,4.2,49.90793949668245
43,4.3,49.66992941493465
44,4.4,49.44001873286897
45,4.5,49.21243362100904
46,4.6000000000000005,48.98107948157427
47,4.7,48.76472126036282
48,4.800000000000001,48.54651862140198
49,4.9,48.3253488756269
50,5.0,48.119576008455454
51,5.1000000000000005,47.90859065634007
52,5.2,47.70025164273468
53,5.300000000000001,47.49937049220293
54,5.4,47.30153664056147
55,5.5,47.09857049605215
56,5.6000000000000005,46.90402451952917
57,5.7,46.712525841896515
58,5.800000000000001,46.52672080166415
59,5.9,46.332255017217236
60,6.0,46.15102092532033
61,6.1000000000000005,45.966659342457056
62,6.2,45.7877508207659
63,6.300000000000001,45.60699788132535
64,6.4,45.4319385792851
65,6.5,45.26056811274364
66,6.6000000000000005,45.08695226807249
67,6.7,44.92279908837648
68,6.800000000000001,44.7539145761929
69,6.9,44.5883179391278
70,7.0,44.42280149413877
71,7.1000000000000005,44.268030787341836
72,7.2,44.111014702415225
73,7.300000000000001,43.95111170275043
74,7.4,43.793855041595634
75,7.5,43.64269297822144
76,7.6000000000000005,43.49489898204178
77,7.7,43.346463449253655
78,7.800000000000001,43.19225408698916
79,7.9,43.05063488066617
80,8.0,42.9071712565938
81,8.1,42.76370763252142
82,8.200000000000001,42.621366697513885
83,8.3,42.48175229309242
84,8.4,42.34494461133306
85,8.5,42.20893885033432
86,8.6,42.06772060439164
87,8.700000000000001,41.93756886494532
88,8.8,41.80805866210748
89,8.9,41.6804730690951
90,9.0,41.55433093345181
91,9.1,41.42441977023366
92,9.200000000000001,41.29587187230855
93,9.3,41.17670644728253
94,9.4,41.0563381411156
95,9.5,40.93220080737382
96,9.600000000000001,40.814879800097195
97,9.700000000000001,40.69266707618087
98,9.8,40.57574702928454
99,9.9,40.459388326920646
100,10.0,40.34270885625249
101,10.100000000000001,40.226831306344955
102,10.200000000000001,40.117449314598325
103,10.3,40.00365675866836
104,10.4,39.892109580868095
105,10.5,39.781685092132676
106,10.600000000000001,39.667090615442106
107,10.700000000000001,39.5605153463576
108,10.8,39.455463726718236
109,10.9,39.349048841785844
110,11.0,39.23629878284467
111,11.100000000000001,39.13429446209561
112,11.200000000000001,39.024270933740496
113,11.3,38.922026036763256
114,11.4,38.81954056355784
115,11.5,38.72122507830756
116,11.600000000000001,38.61561211413578
117,11.700000000000001,38.51232472016975
118,11.8,38.40999963111645
119,11.9,38.31152376171406
120,12.0,38.209198672660754
121,12.100000000000001,38.112487028931696
122,12.200000000000001,38.011525205171424
123,12.3,37.908558579509645
124,12.4,37.817299996952705
125,12.5,37.71681932564879
126,12.600000000000001,37.619305761159126
127,12.700000000000001,37.518103361170674
128,12.8,37.42075018083313
129,12.9,37.32508103409286
130,13.0,37.23350168323168
131,13.100000000000001,37.13719099988292
132,13.200000000000001,37.04192281352295
133,13.3,36.94489040148965
134,13.4,36.84593337963089
135,13.5,36.756358830671225
136,13.600000000000001,36.65828392164913
137,13.700000000000001,36.56622341833159
138,13.8,36.47769136636071
139,13.9,36.38506951851074
140,14.0,36.28571153627168
141,14.100000000000001,36.19605679523595
142,14.200000000000001,36.10463782852689
143,14.3,36.01145463614449
144,14.4,35.923243352477854
145,14.5,35.831744193692735
146,14.600000000000001,35.73952330622306
147,14.700000000000001,35.651632790860674
148,14.8,35.56125632114039
149,14.9,35.47184215633285
150,15.0,35.382748759829546
151,15.100000000000001,35.293334595021996
152,15.200000000000001,35.199028713574755
153,15.3,35.11386472879842
154,15.4,35.02862055194602
155,15.5,34.94008849997514
156,15.600000000000001,34.853400865753656
157,15.700000000000001,34.765349966239135
158,15.8,34.67786041125704
159,15.9,34.59005008797071
160,16.0,34.50240014883649
161,16.1,34.4145096334741
162,16.2,34.331911795131695
163,16.3,34.25179991114718
164,16.400000000000002,34.162225362187506
165,16.5,34.07858502685633
166,16.6,33.99470411529696
167,16.7,33.905690910869716
168,16.8,33.82213076761459
169,16.900000000000002,33.734320444328254
170,17.0,33.65444913657192
171,17.1,33.56703977366588
172,17.2,33.48091348397682
173,17.3,33.3981552614823
174,17.400000000000002,33.317321648813234
175,17.5,33.23753053313296
176,17.6,33.14996078607481
177,17.7,33.064075072613925
178,17.8,32.98219896295607
