,dose_bins,coverage
0,0.0,100.0
1,0.1,100.0
2,0.2,100.0
3,0.30000000000000004,100.0
4,0.4,100.0
5,0.5,100.0
6,0.6000000000000001,100.0
7,0.7000000000000001,100.0
8,0.8,100.0
9,0.9,100.0
10,1.0,100.0
11,1.1,100.0
12,1.2000000000000002,100.0
13,1.3,100.0
14,1.4000000000000001,100.0
15,1.5,100.0
16,1.6,100.0
17,1.7000000000000002,100.0
18,1.8,100.0
19,1.9000000000000001,100.0
20,2.0,100.0
21,2.1,100.0
22,2.2,100.0
23,2.3000000000000003,100.0
24,2.4000000000000004,100.0
25,2.5,100.0
26,2.6,100.0
27,2.7,100.0
28,2.8000000000000003,100.0
29,2.9000000000000004,100.0
30,3.0,99.98987854251013
31,3.1,99.9746963562753
32,3.2,99.95445344129554
33,3.3000000000000003,99.9342105263158
34,3.4000000000000004,99.91902834008097
35,3.5,99.89878542510121
36,3.6,99.85323886639677
37,3.7,99.81275303643726
38,3.8000000000000003,99.75708502024293
39,3.9000000000000004,99.71153846153847
40,4.0,99.65080971659918
41,4.1000000000000005,99.59514170040485
42,4.2,99.54453441295547
43,4.3,99.47874493927125
44,4.4,99.42307692307692
45,4.5,99.34716599190283
46,4.6000000000000005,99.27125506072875
47,4.7,99.22064777327935
48,4.800000000000001,99.13967611336032
49,4.9,99.04858299595142
50,5.0,98.98279352226722
51,5.1000000000000005,98.89676113360323
52,5.2,98.82591093117409
53,5.300000000000001,98.73481781376519
54,5.4,98.64372469635627
55,5.5,98.55263157894737
56,5.6000000000000005,98.4665991902834
57,5.7,98.3755060728745
58,5.800000000000001,98.28947368421052
59,5.9,98.19331983805668
60,6.0,98.09210526315789
61,6.1000000000000005,97.98582995951418
62,6.2,97.88461538461539
63,6.300000000000001,97.7834008097166
64,6.4,97.67712550607287
65,6.5,97.57591093117409
66,6.6000000000000005,97.46963562753037
67,6.7,97.36336032388664
68,6.800000000000001,97.2672064777328
69,6.9,97.17105263157895
70,7.0,97.04959514170041
71,7.1000000000000005,96.94838056680162
72,7.2,96.84210526315789
73,7.300000000000001,96.73582995951418
74,7.4,96.61943319838056
75,7.5,96.51315789473685
76,7.6000000000000005,96.43218623481782
77,7.7,96.30566801619433
78,7.800000000000001,96.21963562753037
79,7.9,96.11336032388664
80,8.0,96.01214574898785
81,8.1,95.90080971659918
82,8.200000000000001,95.7995951417004
83,8.3,95.70344129554655
84,8.4,95.59716599190283
85,8.5,95.50101214574899
86,8.6,95.3997975708502
87,8.700000000000001,95.3087044534413
88,8.8,95.2074898785425
89,8.9,95.09615384615384
90,9.0,95.00506072874494
91,9.1,94.92408906882591
92,9.200000000000001,94.8178137651822
93,9.3,94.72672064777328
94,9.4,94.64068825910931
95,9.5,94.53441295546558
96,9.600000000000001,94.46356275303643
97,9.700000000000001,94.35222672064776
98,9.8,94.25607287449392
99,9.9,94.15485829959515
100,10.0,94.05364372469636
101,10.100000000000001,93.95242914979757
102,10.200000000000001,93.84615384615384
103,10.3,93.76012145748987
104,10.4,93.65384615384616
105,10.5,93.57793522267205
106,10.600000000000001,93.4514170040486
107,10.700000000000001,93.3502024291498
108,10.8,93.26417004048582
109,10.9,93.15283400809716
110,11.0,93.06174089068826
111,11.100000000000001,92.96052631578947
112,11.200000000000001,92.86943319838056
113,11.3,92.74797570850203
114,11.4,92.65688259109311
115,11.5,92.54554655870444
116,11.600000000000001,92.4493927125506
117,11.700000000000001,92.33805668016194
118,11.8,92.23178137651821
119,11.9,92.12044534412955
120,12.0,92.00404858299595
121,12.100000000000001,91.90789473684211
122,12.200000000000001,91.80161943319838
123,12.3,91.72064777327935
124,12.4,91.60931174089069
125,12.5,91.5080971659919
126,12.600000000000001,91.3917004048583
127,12.700000000000001,91.28542510121459
128,12.8,91.17408906882591
129,12.9,91.082995951417
130,13.0,90.96153846153847
131,13.100000000000001,90.86538461538461
132,13.200000000000001,90.75404858299595
133,13.3,90.64777327935222
134,13.4,90.53643724696356
135,13.5,90.44534412955466
136,13.600000000000001,90.31376518218623
137,13.700000000000001,90.21761133603239
138,13.8,90.09615384615385
139,13.9,89.99493927125506
140,14.0,89.89372469635629
141,14.100000000000001,89.7672064777328
142,14.200000000000001,89.65587044534414
143,14.3,89.55465587044534
144,14.4,89.43825910931174
145,14.5,89.32186234817814
146,14.600000000000001,89.20546558704453
147,14.700000000000001,89.09412955465586
148,14.8,89.01315789473684
149,14.9,88.87145748987855
150,15.0,88.77024291497976
151,15.100000000000001,88.62854251012145
152,15.200000000000001,88.52732793522267
153,15.3,88.39574898785425
154,15.4,88.28947368421053
155,15.5,88.16295546558705
156,15.600000000000001,88.04655870445343
157,15.700000000000001,87.92004048582996
158,15.8,87.7985829959514
159,15.9,87.67206477732795
160,16.0,87.54554655870446
161,16.1,87.4089068825911
162,16.2,87.27226720647774
163,16.3,87.18117408906882
164,16.400000000000002,87.01417004048582
165,16.5,86.92307692307692
166,16.6,86.78137651821862
167,16.7,86.65485829959513
168,16.8,86.5334008097166
169,16.900000000000002,86.38663967611336
170,17.0,86.28036437246963
171,17.1,86.1336032388664
172,17.2,86.02226720647774
173,17.3,85.84514170040485
174,17.400000000000002,85.74392712550608
175,17.5,85.61234817813765
176,17.6,85.48076923076923
177,17.7,85.34412955465586
178,17.8,85.2074898785425
179,17.900000000000002,85.08603238866397
180,18.0,84.9089068825911
181,18.1,84.78744939271256
182,18.2,84.66599190283401
183,18.3,84.52429149797571
184,18.400000000000002,84.37753036437246
185,18.5,84.22064777327935
186,18.6,84.12955465587044
